epoch: [0/1000], training loss: 3.169323484102885, train accuracy: 0.6185089945793152, test loss: 5.106578350067139, test accuracy: 0.6267857551574707
epoch: [1/1000], training loss: 3.0257233075606518, train accuracy: 0.610587477684021, test loss: 4.967556953430176, test accuracy: 0.6136904954910278
epoch: [2/1000], training loss: 2.789953601665986, train accuracy: 0.6172521114349365, test loss: 4.8454132080078125, test accuracy: 0.6264880895614624
epoch: [3/1000], training loss: 2.580031604338915, train accuracy: 0.6293576955795288, test loss: 4.706912040710449, test accuracy: 0.6229166984558105
epoch: [4/1000], training loss: 2.3861974768149548, train accuracy: 0.6354931592941284, test loss: 4.390323162078857, test accuracy: 0.6485119462013245
epoch: [5/1000], training loss: 2.4304068119097977, train accuracy: 0.6410167217254639, test loss: 4.260706901550293, test accuracy: 0.6526786088943481
epoch: [6/1000], training loss: 2.064937576269492, train accuracy: 0.6410332918167114, test loss: 3.805842876434326, test accuracy: 0.6404762268066406
epoch: [7/1000], training loss: 1.7427344551453223, train accuracy: 0.6498148441314697, test loss: 3.5388898849487305, test accuracy: 0.6363095045089722
epoch: [8/1000], training loss: 1.5475629919614546, train accuracy: 0.656380295753479, test loss: 3.5027477741241455, test accuracy: 0.6699404716491699
epoch: [9/1000], training loss: 1.414862884924962, train accuracy: 0.6585301756858826, test loss: 1.8900461196899414, test accuracy: 0.6693452596664429
epoch: [10/1000], training loss: 1.4704100688298543, train accuracy: 0.6562148332595825, test loss: 2.9022984504699707, test accuracy: 0.6690475940704346
epoch: [11/1000], training loss: 1.375530550113091, train accuracy: 0.6632930040359497, test loss: 2.7585010528564453, test accuracy: 0.6559523940086365
epoch: [12/1000], training loss: 0.976001378817436, train accuracy: 0.690001368522644, test loss: 1.8907893896102905, test accuracy: 0.6940476298332214
epoch: [13/1000], training loss: 0.799954375395408, train accuracy: 0.6961698532104492, test loss: 1.1834206581115723, test accuracy: 0.7011904716491699
epoch: [14/1000], training loss: 0.6363567557090368, train accuracy: 0.706787109375, test loss: 1.1488301753997803, test accuracy: 0.7160714864730835
epoch: [15/1000], training loss: 0.4876923591662676, train accuracy: 0.7217206358909607, test loss: 1.3564958572387695, test accuracy: 0.7220238447189331
epoch: [16/1000], training loss: 0.43037972274499064, train accuracy: 0.7339584827423096, test loss: 0.8974222540855408, test accuracy: 0.7229167222976685
epoch: [17/1000], training loss: 0.35261165102322894, train accuracy: 0.741499662399292, test loss: 0.9262548685073853, test accuracy: 0.7315475940704346
epoch: [18/1000], training loss: 0.29633371188090396, train accuracy: 0.748693585395813, test loss: 0.6017588973045349, test accuracy: 0.743154764175415
epoch: [19/1000], training loss: 0.24736638978505746, train accuracy: 0.7602864503860474, test loss: 0.6617373824119568, test accuracy: 0.7583333849906921
epoch: [20/1000], training loss: 0.19317935292537397, train accuracy: 0.7774690985679626, test loss: 0.6683590412139893, test accuracy: 0.7627977132797241
epoch: [21/1000], training loss: 0.17734243548833406, train accuracy: 0.7834226489067078, test loss: 0.5412106513977051, test accuracy: 0.7714285850524902
epoch: [22/1000], training loss: 0.14970518362063628, train accuracy: 0.7916914820671082, test loss: 0.45405179262161255, test accuracy: 0.7779762148857117
epoch: [23/1000], training loss: 0.13641967930090734, train accuracy: 0.7982238531112671, test loss: 0.46510499715805054, test accuracy: 0.7830357551574707
epoch: [24/1000], training loss: 0.11275620586597003, train accuracy: 0.8096017837524414, test loss: 0.4293398857116699, test accuracy: 0.7898809909820557
